Amostra,Sinal_Original,Sinal_Filtrado
411,7995.000000,8067.712320
412,7947.000000,8026.804649
413,7893.000000,7981.417318
414,7836.000000,7931.466204
415,7774.000000,7877.045806
416,7708.000000,7818.273258
417,7637.000000,7755.129868
418,7561.000000,7687.461333
419,7482.000000,7615.226039
420,7398.000000,7538.631448
421,7310.000000,7457.789396
422,7217.000000,7372.638541
423,7121.000000,7283.181399
424,7020.000000,7189.538420
425,6915.000000,7091.724698
426,6806.000000,6989.714312
427,6692.000000,6883.477793
428,6576.000000,6773.093629
429,6456.000000,6658.938533
430,6330.000000,6541.048621
431,6202.000000,6419.137108
432,6070.000000,6293.312098
433,5934.000000,6163.771104
434,5795.000000,6030.566682
435,5652.000000,5893.780172
436,5506.000000,5753.470745
437,5357.000000,5609.764705
438,5203.000000,5462.663779
439,5048.000000,5312.127493
440,4888.000000,5158.312373
441,4727.000000,5001.379487
442,4561.000000,4841.428515
443,4393.000000,4678.402115
444,4223.000000,4512.408261
445,4050.000000,4343.763127
446,3873.000000,4172.435921
447,3696.000000,3998.389851
448,3515.000000,3821.893388
449,3333.000000,3643.114279
450,3148.000000,3462.121191
451,2960.000000,3278.825312
452,2772.000000,3093.217657
453,2581.000000,2905.612247
454,2389.000000,2716.210512
455,2195.000000,2525.097684
456,2000.000000,2332.384613
457,1803.000000,2138.147395
458,1604.000000,1942.323194
459,1406.000000,1745.022666
460,1206.000000,1546.663975
461,1005.000000,1347.409222
462,802.000000,1147.076590
463,600.000000,945.635886
464,397.000000,743.412144
465,194.000000,540.721873
466,-10.000000,337.657504
467,-214.000000,134.200681
468,-417.000000,-69.501454
469,-622.000000,-273.304051
470,-825.000000,-477.217226
471,-1028.000000,-681.005906
472,-1230.000000,-884.347458
473,-1433.000000,-1087.211320
474,-1635.000000,-1289.773856
475,-1834.000000,-1491.821003
476,-2034.000000,-1692.896894
477,-2233.000000,-1893.033609
478,-2430.000000,-2092.315719
479,-2626.000000,-2290.519373
480,-2820.000000,-2487.405329
481,-3013.000000,-2682.822649
482,-3203.000000,-2876.611138
483,-3393.000000,-3068.670080
484,-3580.000000,-3259.055547
485,-3765.000000,-3447.658712
486,-3948.000000,-3634.260653
487,-4128.000000,-3818.691243
488,-4306.000000,-4000.765428
489,-4481.000000,-4180.365444
490,-4654.000000,-4357.441951
491,-4824.000000,-4531.987682
492,-4991.000000,-4703.914603
493,-5155.000000,-4873.044505
494,-5316.000000,-5039.238715
495,-5472.000000,-5202.230635
496,-5627.000000,-5361.815134
497,-5777.000000,-5518.082944
498,-5924.000000,-5670.992720
499,-6067.000000,-5820.377610
500,-6207.000000,-5966.191714
501,-6342.000000,-6108.349746
502,-6474.000000,-6246.688963
503,-6601.000000,-6381.084362
504,-6724.000000,-6511.374703
505,-6843.000000,-6637.449636
506,-6957.000000,-6759.258868
507,-7067.000000,-6876.694137
508,-7173.000000,-6989.767765
509,-7273.000000,-7098.429826
510,-7370.000000,-7202.531514
511,-7461.000000,-7302.046802
512,-7548.000000,-7396.903125
513,-7630.000000,-7487.040744
514,-7706.000000,-7572.329893
515,-7778.000000,-7652.570509
516,-7845.000000,-7727.812489
517,-7906.000000,-7798.071932
518,-7963.000000,-7863.249754
519,-8014.000000,-7923.344803
520,-8059.000000,-7978.193756
521,-8100.000000,-8027.643017
522,-8135.000000,-8071.797477
523,-8165.000000,-8110.709596
524,-8189.000000,-8144.296237
525,-8208.000000,-8172.461534
526,-8221.000000,-8195.142814
527,-8229.000000,-8212.312945
528,-8231.000000,-8223.967236
529,-8228.000000,-8230.110309
530,-8219.000000,-8230.748087
531,-8204.000000,-8225.786980
532,-8184.000000,-8215.136777
533,-8159.000000,-8198.938886
534,-8128.000000,-8177.356698
535,-8091.000000,-8150.301859
536,-8048.000000,-8117.538976
537,-8001.000000,-8079.070832
538,-7947.000000,-8035.076143
539,-7888.000000,-7985.527218
540,-7824.000000,-7930.436007
541,-7755.000000,-7870.018268
542,-7680.000000,-7804.375808
543,-7599.000000,-7733.337427
544,-7514.000000,-7656.805414
545,-7423.000000,-7574.939973
546,-7326.000000,-7487.729456
547,-7225.000000,-7395.109478
548,-7119.000000,-7297.316113
549,-7007.000000,-7194.495765
550,-6892.000000,-7086.707771
551,-6770.000000,-6974.056908
552,-6644.000000,-6856.426917
553,-6514.000000,-6733.868524
554,-6378.000000,-6606.565940
555,-6238.000000,-6474.480670
556,-6094.000000,-6337.710276
557,-5945.000000,-6196.457206
558,-5792.000000,-6050.782178
559,-5634.000000,-5900.674953
560,-5472.000000,-5746.105640
561,-5307.000000,-5587.244732
562,-5138.000000,-5424.458196
563,-4965.000000,-5257.936609
564,-4789.000000,-5087.737658
565,-4608.000000,-4913.852207
566,-4424.000000,-4736.154780
567,-4238.000000,-4554.823018
568,-4048.000000,-4370.261488
569,-3854.000000,-4182.499515
570,-3658.000000,-3991.429888
571,-3459.000000,-3797.234648
572,-3258.000000,-3600.218793
573,-3054.000000,-3400.609196
574,-2848.000000,-3198.518091
575,-2640.000000,-2994.073298
576,-2429.000000,-2787.357916
577,-2217.000000,-2578.407687
578,-2002.000000,-2367.326236
579,-1786.000000,-2154.199352
580,-1569.000000,-1939.268635
581,-1351.000000,-1722.928535
582,-1131.000000,-1505.372779
583,-910.000000,-1286.554898
584,-689.000000,-1066.561769
585,-467.000000,-845.686053
586,-244.000000,-624.077080
587,-21.000000,-401.778090
588,203.000000,-178.877702
589,425.000000,44.359685
590,648.000000,267.519067
591,871.000000,490.492575
592,1093.000000,713.316839
593,1315.000000,935.867091
594,1536.000000,1158.013488
595,1756.000000,1379.577571
596,1974.000000,1600.239106
597,2192.000000,1819.755659
598,2407.000000,2038.005408
599,2622.000000,2254.856676
600,2834.000000,2470.225925
601,3044.000000,2683.883026
602,3253.000000,2895.638855
603,3459.000000,3105.489446
604,3663.000000,3313.298840
605,3863.000000,3518.744911
606,4061.000000,3721.471648
607,4257.000000,3921.446034
608,4448.000000,4118.657982
609,4638.000000,4312.913725
610,4823.000000,4504.131572
611,5006.000000,4692.201459
612,5184.000000,4876.949219
613,5358.000000,5058.052070
614,5529.000000,5235.263747
615,5695.000000,5408.557293
616,5857.000000,5577.794119
617,6015.000000,5742.852549
618,6168.000000,5903.664061
619,6317.000000,6060.106979
620,6461.000000,6212.089428
621,6600.000000,6359.467714
622,6734.000000,6502.039355
623,6863.000000,6639.661346
624,6987.000000,6772.266358
625,7105.000000,6899.740945
626,7218.000000,7021.902966
627,7325.000000,7138.618509
628,7427.000000,7249.822034
629,7524.000000,7355.594020
630,7614.000000,7455.934557
631,7699.000000,7550.621643
632,7777.000000,7639.445940
633,7849.000000,7722.186454
634,7916.000000,7798.802241
635,7976.000000,7869.425990
636,8030.000000,7934.001194
637,8078.000000,7992.430341
638,8118.000000,8044.542705
639,8153.000000,8090.112196
640,8182.000000,8129.275455
641,8204.000000,8162.236673
642,8219.000000,8188.849922
643,8228.000000,8208.909556
644,8230.000000,8222.367966
645,8227.000000,8229.346441
646,8216.000000,8229.975209
647,8198.000000,8224.043722
648,8175.000000,8211.407698
649,8145.000000,8192.294182
650,8108.000000,8166.770066
651,8065.000000,8134.725102
652,8014.000000,8096.033053
653,7958.000000,8050.611648
654,7895.000000,7998.620664
655,7826.000000,7940.238163
656,7751.000000,7875.578765
657,7668.000000,7804.593550
658,7580.000000,7727.100557
659,7485.000000,7643.139801
660,7385.000000,7552.907293
661,7278.000000,7456.574496
662,7165.000000,7354.140099
663,7047.000000,7245.643341
664,6922.000000,7131.219288
665,6792.000000,7010.884567
666,6656.000000,6884.707466
667,6514.000000,6752.746825
668,6367.000000,6615.035355
669,6215.000000,6471.779544
670,6058.000000,6323.260803
671,5895.000000,6169.577982
672,5728.000000,6010.730479
673,5555.000000,5846.782405
674,5379.000000,5677.892036
675,5196.000000,5504.187229
676,5011.000000,5325.735765
677,4820.000000,5142.754195
678,4626.000000,4955.424092
679,4427.000000,4763.844459
680,4224.000000,4568.048113
681,4019.000000,4368.228257
682,3809.000000,4164.751365
683,3596.000000,3957.703291
684,3379.000000,3747.042821
685,3161.000000,3532.995371
686,2939.000000,3315.982468
687,2715.000000,3096.228760
688,2488.000000,2873.805539
689,2259.000000,2648.802769
690,2027.000000,2421.281502
691,1793.000000,2191.269313
692,1559.000000,1959.064742
693,1322.000000,1725.135325
694,1085.000000,1489.724716
695,847.000000,1253.102048
696,607.000000,1015.439849
697,366.000000,776.615802
698,126.000000,536.749972
699,-115.000000,296.289223
700,-356.000000,55.517207
701,-597.000000,-185.447597
702,-837.000000,-426.392778
703,-1078.000000,-667.157564
704,-1317.000000,-907.661182
705,-1555.000000,-1147.588175
706,-1792.000000,-1386.570423
707,-2027.000000,-1624.366009
708,-2262.000000,-1860.869558
709,-2493.000000,-2095.964732
710,-2723.000000,-2329.284076
711,-2952.000000,-2560.715192
712,-3177.000000,-2790.274595
713,-3400.000000,-3017.624799
714,-3621.000000,-3242.539743
715,-3838.000000,-3464.918790
716,-4052.000000,-3684.449521
717,-4262.000000,-3900.773298
718,-4468.000000,-4113.558501
719,-4672.000000,-4322.709655
720,-4871.000000,-4528.344916
721,-5065.000000,-4730.216981
722,-5257.000000,-4928.053309
723,-5442.000000,-5121.777008
724,-5624.000000,-5311.113538
725,-5800.000000,-5495.829692
726,-5971.000000,-5675.699482
727,-6138.000000,-5850.587580
728,-6299.000000,-6020.539358
729,-6454.000000,-6185.349809
730,-6604.000000,-6344.712896
731,-6748.000000,-6498.506052
732,-6886.000000,-6646.618098
733,-7018.000000,-6788.887441
734,-7143.000000,-6925.101158
735,-7263.000000,-7055.112366
736,-7376.000000,-7178.951189
737,-7482.000000,-7296.499726
738,-7582.000000,-7407.539149
739,-7674.000000,-7511.902441
740,-7760.000000,-7609.407453
741,-7840.000000,-7700.133385
742,-7911.000000,-7784.117994
743,-7976.000000,-7861.077582
744,-8034.000000,-7930.927357
745,-8084.000000,-7993.681937
746,-8128.000000,-8049.285742
747,-8163.000000,-8097.681494
748,-8191.000000,-8138.638457
749,-8212.000000,-8172.055815
750,-8225.000000,-8198.013060
751,-8231.000000,-8216.521113
752,-8229.000000,-8227.563773
753,-8219.000000,-8231.024492
754,-8202.000000,-8226.798792
755,-8178.000000,-8215.022277
756,-8145.000000,-8195.759994
757,-8106.000000,-8168.930436
758,-8059.000000,-8134.630337
759,-8004.000000,-8092.880439
760,-7942.000000,-8043.570418
761,-7872.000000,-7986.686980
762,-7795.000000,-7922.254365
763,-7711.000000,-7850.397488
764,-7619.000000,-7771.226042
765,-7521.000000,-7684.801806
766,-7415.000000,-7591.244095
767,-7302.000000,-7490.547173
768,-7183.000000,-7382.763495
769,-7057.000000,-7268.139687
770,-6923.000000,-7146.695526
771,-6783.000000,-7018.269816
772,-6637.000000,-6882.996881
773,-6485.000000,-6741.252359
774,-6326.000000,-6593.247996
775,-6161.000000,-6438.960588
776,-5990.000000,-6278.395304
777,-5814.000000,-6111.760015
778,-5631.000000,-5939.248982
779,-5443.000000,-5760.878434
780,-5250.000000,-5576.794179
781,-5052.000000,-5387.323540
782,-4849.000000,-5192.726517
783,-4641.000000,-4993.139133
784,-4429.000000,-4788.700595
785,-4212.000000,-4579.594440
786,-3991.000000,-4365.947306
787,-3765.000000,-4147.817408
788,-3537.000000,-3925.412683
789,-3305.000000,-3699.202662
790,-3069.000000,-3469.463082
791,-2830.000000,-3236.199767
792,-2589.000000,-2999.619191
793,-2345.000000,-2760.109336
794,-2098.000000,-2517.869546
795,-1849.000000,-2272.958430
796,-1598.000000,-2025.560063
797,-1346.000000,-1776.023719
798,-1093.000000,-1524.812598
799,-837.000000,-1272.149356
800,-581.000000,-1017.991881
801,-324.000000,-762.519147
802,-66.000000,-506.011558
803,192.000000,-248.673827
804,449.000000,9.101620
805,706.000000,266.817772
806,963.000000,524.234485
807,1219.000000,781.291017
808,1473.000000,1037.717256
809,1727.000000,1293.181154
810,1979.000000,1547.557322
811,2229.000000,1800.642962
812,2478.000000,2052.191040
813,2724.000000,2302.036249
814,2967.000000,2549.812187
815,3208.000000,2795.130879
816,3445.000000,3037.748673
817,3680.000000,3277.467545
818,3910.000000,3514.084382
819,4137.000000,3747.278434
820,4360.000000,3976.814999
821,4579.000000,4202.579714
822,4793.000000,4424.347729
823,5002.000000,4641.749913
824,5207.000000,4854.513193
825,5407.000000,5062.600792
826,5601.000000,5265.873795
827,5790.000000,5464.018231
828,5973.000000,5656.784390
829,6150.000000,5843.943867
830,6321.000000,6025.266927
831,6486.000000,6200.613110
832,6644.000000,6369.828933
833,6795.000000,6532.621252
834,6940.000000,6688.764846
835,7078.000000,6838.242724
836,7208.000000,6980.918675
837,7332.000000,7116.572313
838,7448.000000,7245.138888
839,7555.000000,7366.337926
840,7656.000000,7479.828941
841,7750.000000,7585.774940
842,7834.000000,7684.247838
843,7911.000000,7774.870576
844,7980.000000,7857.458954
845,8041.000000,7932.062620
846,8093.000000,7998.594522
847,8137.000000,8056.858407
848,8173.000000,8106.795892
849,8200.000000,8148.417353
850,8218.000000,8181.556770
851,8229.000000,8206.151792
852,8231.000000,8222.394233
853,8224.000000,8230.290461
854,8208.000000,8229.587280
855,8184.000000,8220.141480
856,8152.000000,8202.097706
857,8110.000000,8175.542433
858,8061.000000,8140.411345
859,8003.000000,8096.810244
860,7936.000000,8044.762685
861,7861.000000,7984.157979
862,7778.000000,7915.079180
863,7686.000000,7837.641484
864,7587.000000,7751.925818
865,7478.000000,7657.970080
866,7363.000000,7555.783027
867,7240.000000,7445.653172
868,7108.000000,7327.751981
869,6969.000000,7201.949680
870,6823.000000,7068.359653
871,6669.000000,6927.229691
872,6508.000000,6778.657986
873,6340.000000,6622.752148
874,6165.000000,6459.678536
875,5983.000000,6289.558121
876,5795.000000,6112.547137
877,5601.000000,5928.947818
878,5401.000000,5739.090669
879,5194.000000,5543.088916
880,4981.000000,5340.841511
881,4764.000000,5132.508333
882,4541.000000,4918.566699
883,4313.000000,4699.315697
884,4081.000000,4474.975842
885,3843.000000,4245.752967
886,3602.000000,4011.767632
887,3356.000000,3773.260150
888,3107.000000,3530.514539
889,2854.000000,3283.816095
890,2598.000000,3033.436761
891,2338.000000,2779.537826
892,2077.000000,2522.375970
893,1812.000000,2262.334692
894,1545.000000,1999.592367
895,1277.000000,1734.384599
896,1008.000000,1467.264582
897,737.000000,1198.675339
898,464.000000,928.654894
899,191.000000,657.189056
900,-81.000000,384.739923
901,-354.000000,111.943161
902,-628.000000,-161.048847
903,-900.000000,-434.206689
904,-1171.000000,-707.065275
905,-1443.000000,-979.293548
906,-1711.000000,-1250.734415
907,-1979.000000,-1520.959596
908,-2244.000000,-1789.617667
909,-2506.000000,-2056.324803
910,-2767.000000,-2320.738639
911,-3024.000000,-2582.761961
912,-3278.000000,-2842.124348
913,-3528.000000,-3098.407983
914,-3775.000000,-3351.309086
915,-4018.000000,-3600.680524
916,-4256.000000,-3846.289574
917,-4490.000000,-4087.770607
918,-4719.000000,-4324.856478
919,-4943.000000,-4557.319566
920,-5160.000000,-4784.741423
921,-5373.000000,-5006.705774
922,-5580.000000,-5223.154898
923,-5780.000000,-5433.977869
924,-5974.000000,-5638.796454
925,-6161.000000,-5837.291025
926,-6341.000000,-6029.188683
927,-6515.000000,-6214.338676
928,-6680.000000,-6392.592211
929,-6839.000000,-6563.663993
930,-6990.000000,-6727.432271
931,-7133.000000,-6883.779725
932,-7268.000000,-7032.441066
933,-7394.000000,-7173.107652
934,-7512.000000,-7305.479294
935,-7621.000000,-7429.375847
936,-7722.000000,-7544.727536
937,-7814.000000,-7651.528623
938,-7898.000000,-7749.796956
939,-7972.000000,-7839.453645
940,-8037.000000,-7920.223100
941,-8092.000000,-7991.774157
942,-8139.000000,-8053.984087
943,-8176.000000,-8106.945199
944,-8203.000000,-8150.590169
945,-8222.000000,-8184.824756
946,-8230.000000,-8209.680179
