Frequencia(Hz),Original_Magnitude,Filtrado_Magnitude
51.40,2479302.341133,2479324.595680
51.50,2479398.146903,2479417.098745
51.60,2478613.817036,2478629.224299
51.70,2476213.434230,2476225.085342
51.80,2472865.986996,2472873.691177
51.90,2468160.839824,2468164.446349
52.00,2462464.961401,2462464.353120
52.10,2455639.122823,2455634.210780
52.20,2447547.904343,2447538.649334
52.30,2438699.246507,2438685.639258
52.40,2428900.640595,2428882.714783
52.50,2418348.253956,2418326.086529
52.60,2406971.768556,2406945.478759
52.70,2395009.993935,2394979.745232
52.80,2382587.890914,2382553.889774
52.90,2369547.187841,2369509.687126
53.00,2356595.562877,2356554.854774
53.10,2343271.640349,2343228.059649
53.20,2330122.173589,2330076.098998
53.30,2316833.655316,2316785.500031
53.40,2303924.522616,2303874.735322
53.50,2291322.959409,2291272.018184
53.60,2279574.308766,2279522.717356
53.70,2268293.714372,2268241.997139
53.80,2257965.186637,2257913.879544
53.90,2248354.692091,2248304.339795
54.00,2240044.783248,2239995.924644
54.10,2232775.329270,2232728.496927
54.20,2227052.617631,2227008.322631
54.30,2222362.278933,2222321.008853
54.40,2219041.717223,2219003.921386
54.50,2217350.213345,2217316.296339
54.60,2217037.620127,2217007.937436
54.70,2218188.331235,2218163.180968
54.80,2220807.082305,2220786.695944
54.90,2224770.341429,2224754.883349
55.00,2230121.730718,2230111.305337
55.10,2236842.739261,2236837.360900
55.20,2244655.534326,2244655.162156
55.30,2253877.224440,2253881.735250
55.40,2263726.275079,2263735.485799
55.50,2274512.794306,2274526.447616
55.60,2286137.251023,2286155.035257
55.70,2298193.633006,2298215.180967
55.80,2310686.064129,2310710.958274
55.90,2323630.400974,2323658.185951
56.00,2336343.492853,2336373.676727
56.10,2349077.954802,2349110.013990
56.20,2361763.215678,2361796.606713
56.30,2374073.191618,2374107.357983
56.40,2385787.191187,2385821.568890
56.50,2396903.777525,2396937.801846
56.60,2406991.589441,2407024.702463
56.70,2416455.595317,2416487.250897
56.80,2424775.614939,2424805.285149
56.90,2432122.125944,2432149.308625
57.00,2438064.809581,2438089.029419
57.10,2443016.230781,2443037.048800
57.20,2446565.094706,2446582.110509
57.30,2448637.091103,2448649.952266
57.40,2449451.731728,2449460.127905
57.50,2448775.465278,2448779.144402
57.60,2446730.144521,2446728.903703
57.70,2443217.250997,2443210.955709
57.80,2438555.528316,2438544.099219
57.90,2432694.651437,2432678.074174
58.00,2425412.183834,2425390.512088
58.10,2417276.774931,2417250.128090
58.20,2407978.255103,2407946.824141
58.30,2397772.787778,2397736.828210
58.40,2386974.549078,2386934.384258
58.50,2375298.862873,2375254.885269
58.60,2363429.044424,2363381.704174
58.70,2351014.874025,2350964.684706
58.80,2338592.690018,2338540.215205
58.90,2326272.099039,2326217.950486
59.00,2314138.044486,2314082.873963
59.10,2302532.158489,2302476.647465
59.20,2291116.993659,2291061.845520
59.30,2280885.762588,2280831.685057
59.40,2271400.411658,2271348.111074
59.50,2263069.639538,2263019.801805
59.60,2255811.625575,2255764.909280
59.70,2250065.560119,2250022.573579
59.80,2245565.547615,2245526.846659
59.90,2242526.100410,2242492.161862
60.00,2240926.264325,2240897.486480
60.10,2241249.362782,2241226.048703
60.20,2242898.877355,2242881.234494
60.30,2246177.980289,2246166.103751
60.40,2251079.677267,2251073.562871
60.50,2257227.736958,2257227.267239
60.60,2264699.377969,2264704.339046
60.70,2273203.651948,2273213.719966
60.80,2282899.555134,2282914.315845
60.90,2293378.214553,2293397.177057
61.00,2304598.964975,2304621.559313
